,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L01649.1,0,0,0,0,0,0,0,0,8
Eucgr.L02792.1,0,0,4,0,0,0,0,0,0
Eucgr.L03123.1,1,664,0,0,0,0,259,0,1
Eucgr.L03122.1,2,5,5,6,11,12,23,6,11
Eucgr.L03010.1,0,29,3,0,0,2,2,1,12
Eucgr.L03367.1,0,0,0,0,0,0,0,0,0
Eucgr.L02237.1,0,0,0,0,0,0,0,0,0
Eucgr.L02238.1,0,0,0,0,0,0,0,0,0
Eucgr.L02296.1,0,1,0,0,0,0,0,0,1
Eucgr.L03682.1,4,6,1,10,2,2,0,0,0
Eucgr.L01412.1,0,0,0,0,0,0,0,0,0
Eucgr.L01409.1,5,58,8,48,43,59,56,117,71
Eucgr.L01407.1,0,0,0,0,0,0,1,2,0
Eucgr.L01406.1,28,408,29,10,8,11,91,17,477
Eucgr.L01410.1,4,3,3,4,6,1,4,6,12
Eucgr.L03727.1,0,0,0,1,0,2,0,0,0
Eucgr.L02534.1,8,10,9,9,4,4,14,0,22
Eucgr.L01169.1,1,1,2,1,0,0,2,4,1
Eucgr.L01170.1,0,5,0,8,28,25,0,1,59
Eucgr.L02348.1,82,131,143,399,241,369,24,6,64
Eucgr.L02350.1,0,0,0,0,0,0,0,0,0
Eucgr.L02349.1,103,42,73,79,71,69,109,0,68
Eucgr.L02203.1,0,0,1,8,12,12,5,0,0
Eucgr.L03663.1,0,0,1,1,0,3,0,0,0
Eucgr.L02980.1,16,249,24,23,16,34,18,11,54
Eucgr.L02981.1,13,41,25,18,15,27,12,7,28
Eucgr.L02763.1,0,0,0,0,0,0,0,2,0
Eucgr.L03605.1,1,0,0,0,0,0,2,1,0
Eucgr.L01436.1,0,0,0,3,1,2,3,0,6
Eucgr.L03070.1,0,1,0,0,1,0,2,3,0
Eucgr.L03071.1,0,0,0,0,0,0,0,0,0
Eucgr.L03285.1,0,0,0,0,0,0,0,0,0
Eucgr.L03703.1,3,1,6,11,2,7,9,5,2
Eucgr.L01104.1,0,0,0,6,3,10,1,90,266
Eucgr.L01102.1,2,3,0,0,0,1,1,44,193
Eucgr.L01103.1,548,1059,1005,918,422,1256,1723,598,1766
Eucgr.L02913.1,0,0,0,0,1,0,0,0,1
Eucgr.L02139.1,0,0,0,0,0,0,0,0,0
Eucgr.L02289.1,0,0,1,2,0,0,1,0,0
Eucgr.L02927.1,0,6,0,1,2,1,0,50,58
Eucgr.L02926.1,4,10,5,1,1,5,9,7,12
Eucgr.L03701.1,0,0,0,0,0,1,0,2,3
Eucgr.L02949.1,25,34,13,27,30,35,32,12,120
Eucgr.L02746.1,0,0,0,0,0,0,0,0,0
Eucgr.L02548.1,13,2,11,44,26,24,121,54,27
Eucgr.L02069.1,0,0,0,0,0,0,0,0,0
Eucgr.L02066.1,0,0,1,0,0,0,0,0,0
Eucgr.L02065.1,0,0,0,0,0,0,0,0,0
Eucgr.L02068.1,0,0,0,0,0,0,0,0,0
Eucgr.L02067.1,0,0,0,0,0,0,0,0,0
Eucgr.L01230.1,0,0,0,0,0,0,0,0,0
Eucgr.L01966.1,0,19,8,31,17,14,8,11,13
Eucgr.L01965.1,75,55,42,63,57,70,61,33,38
Eucgr.L02934.1,13,25,12,178,131,132,29,27,71
Eucgr.L01880.1,186,155,189,285,215,234,137,181,173
Eucgr.L01879.1,23,15,11,11,11,2,28,15,14
Eucgr.L03093.1,3,6,2,4,2,1,2,18,0
Eucgr.L02896.1,39,90,38,42,43,63,62,69,92
Eucgr.L01988.1,10,6,6,19,14,9,21,12,15
Eucgr.L01987.1,9,5,2,3,0,7,4,0,1
Eucgr.L02697.1,0,1,0,1,0,3,0,0,10
Eucgr.L01693.1,0,0,0,0,0,0,0,0,0
Eucgr.L01698.1,0,0,0,0,0,0,0,0,0
